YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,2022,NJ,New Jersey,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,14.5,14.5,NA,NA,11,18.9,459,NA,18 - 24,NA,NA,NA,NA,"(40.13057004800049, -74.27369128799967)",OWS,OWS1,Q036,VALUE,34,Age (years),18 - 24,AGEYR,AGEYR1824
2013,2013,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34.6,34.6,NA,NA,32.3,36.9,2174,NA,NA,High school graduate,NA,NA,NA,"(38.665510202, -80.712640135)",OWS,OWS1,Q037,VALUE,54,Education,High school graduate,EDU,EDUHSGRAD
2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.6,34.6,NA,NA,28.4,41.3,606,NA,NA,NA,NA,"Less than $15,000",NA,"(34.52088095200048, -106.24058098499967)",OWS,OWS1,Q036,VALUE,35,Income,"Less than $15,000",INC,INCLESS15
2017,2017,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,13.2,13.2,NA,NA,11.9,14.7,3286,NA,NA,NA,NA,"$75,000 or greater",NA,"(39.360700171, -111.587130635)",PA,PA1,Q047,VALUE,49,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,41.9,41.9,NA,NA,29.1,55.8,127,NA,NA,NA,NA,NA,Hispanic,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,05,Race/Ethnicity,Hispanic,RACE,RACEHIS
2020,2020,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.8,36.8,NA,NA,32.7,41.1,769,NA,NA,College graduate,NA,NA,NA,"(13.444304, 144.793731)",OWS,OWS1,Q037,VALUE,66,Education,College graduate,EDU,EDUCOGRAD
2019,2019,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q037,VALUE,16,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2021,2021,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,58.4,58.4,NA,NA,52.8,63.8,503,NA,NA,Less than high school,NA,NA,NA,"(18.220833, -66.590149)",FV,FV1,Q019,VALUE,72,Education,Less than high school,EDU,EDUHS
2014,2014,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,33.5,33.5,NA,NA,30.4,36.7,3129,NA,NA,High school graduate,NA,NA,NA,"(39.290580964, -76.609260111)",OWS,OWS1,Q037,VALUE,24,Education,High school graduate,EDU,EDUHSGRAD
2020,2020,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,31.1,31.1,NA,NA,28.3,34,1548,NA,NA,High school graduate,NA,NA,NA,"(40.79373015200048, -77.86070029399963)",PA,PA1,Q047,VALUE,42,Education,High school graduate,EDU,EDUHSGRAD
2019,2019,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,38.6,38.6,NA,NA,35.3,42.1,1502,NA,NA,Some college or technical school,NA,NA,NA,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q036,VALUE,47,Education,Some college or technical school,EDU,EDUCOTEC
2019,2019,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,38.3,38.3,NA,NA,32.1,44.9,391,NA,NA,NA,NA,NA,Hispanic,"(41.70828019300046, -71.52247031399963)",OWS,OWS1,Q036,VALUE,44,Race/Ethnicity,Hispanic,RACE,RACEHIS
2019,2019,OH,Ohio,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,30.6,30.6,NA,NA,21.2,42,194,NA,NA,NA,NA,NA,2 or more races,"(40.06021014100048, -82.40426005599966)",PA,PA1,Q044,VALUE,39,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34.7,34.7,NA,NA,34,35.5,69523,NA,NA,NA,NA,"$15,000 - $24,999",NA,NA,PA,PA1,Q047,VALUE,59,Income,"$15,000 - $24,999",INC,INC1525
2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,39.1,39.1,NA,NA,26.5,53.4,76,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(44.6613195430005, -84.71439026999968)",PA,PA1,Q046,VALUE,26,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,28.7,28.7,NA,NA,27.2,30.4,5318,NA,NA,NA,NA,NA,Non-Hispanic White,"(35.472031356, -97.521070214)",PA,PA1,Q047,VALUE,40,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2022,2022,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,28.4,28.4,NA,NA,20.8,37.5,250,NA,NA,NA,NA,"Less than $15,000",NA,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Income,"Less than $15,000",INC,INCLESS15
2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,47.5,47.5,NA,NA,45.2,49.7,3095,NA,NA,NA,NA,NA,Non-Hispanic White,"(32.839681093, -83.627580346)",PA,PA1,Q043,VALUE,13,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2015,2015,WY,Wyoming,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35.4,35.4,NA,NA,25.3,47,200,NA,NA,Less than high school,NA,NA,NA,"(43.235541343, -108.109830353)",PA,PA1,Q045,VALUE,56,Education,Less than high school,EDU,EDUHS
2012,2012,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,38.1,38.1,NA,NA,36.1,40.2,5068,NA,NA,College graduate,NA,NA,NA,"(39.290580964, -76.609260111)",OWS,OWS1,Q037,VALUE,24,Education,College graduate,EDU,EDUCOGRAD
2011,2011,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.6,28.6,NA,NA,16.1,45.5,71,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(43.682630005, -114.363730042)",OWS,OWS1,Q036,VALUE,16,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2012,2012,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.3,35.3,NA,NA,32.6,38.1,1393,NA,55 - 64,NA,NA,NA,NA,"(42.469400913, -93.816490556)",OWS,OWS1,Q037,VALUE,19,Age (years),55 - 64,AGEYR,AGEYR5564
2017,2017,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,32.3,32.3,NA,NA,28.7,36.2,1491,NA,NA,NA,NA,"$15,000 - $24,999",NA,"(45.254228894001, -68.985031336)",OWS,OWS1,Q036,VALUE,23,Income,"$15,000 - $24,999",INC,INC1525
2014,2014,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(45.254228894001, -68.985031336)",OWS,OWS1,Q037,VALUE,23,Race/Ethnicity,Other,RACE,RACEOTH
2019,2019,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.8,39.8,NA,NA,36.9,42.7,1779,NA,65 or older,NA,NA,NA,NA,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q037,VALUE,55,Age (years),65 or older,AGEYR,AGEYR65PLUS
2014,2014,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25,25,NA,NA,22.1,28.1,1796,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(42.27687047, -72.082690675)",OWS,OWS1,Q036,VALUE,25,Income,"$50,000 - $74,999",INC,INC5075
2019,2019,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,38.3,38.3,NA,NA,35.9,40.6,2230,NA,NA,College graduate,NA,NA,NA,"(47.06652897200047, -109.42442064499971)",OWS,OWS1,Q037,VALUE,30,Education,College graduate,EDU,EDUCOGRAD
2015,2015,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,30.9,30.9,NA,NA,18.4,47,58,NA,NA,NA,NA,NA,2 or more races,"(32.839681093, -83.627580346)",PA,PA1,Q046,VALUE,13,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,38.9,38.9,NA,NA,28.5,50.4,204,NA,NA,NA,NA,NA,Non-Hispanic Black,"(44.393191174, -89.816370742)",FV,FV1,Q018,VALUE,55,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2015,2015,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36,36,NA,NA,31.4,40.8,847,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(28.932040377, -81.928960539)",OWS,OWS1,Q037,VALUE,12,Income,"$25,000 - $34,999",INC,INC2535
2021,2021,AL,Alabama,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,25.9,25.9,NA,NA,20.4,32.4,387,NA,NA,NA,NA,"$15,000 - $24,999",NA,"(32.84057112200048, -86.63186076199969)",FV,FV1,Q019,VALUE,01,Income,"$15,000 - $24,999",INC,INC1525
2021,2021,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,29.9,29.9,NA,NA,24.9,35.5,627,NA,NA,NA,NA,"$25,000 - $34,999",NA,"(44.39319117400049, -89.81637074199966)",PA,PA1,Q047,VALUE,55,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,20.6,20.6,NA,NA,15.6,26.6,313,NA,NA,Less than high school,NA,NA,NA,"(42.469400913, -93.816490556)",PA,PA1,Q046,VALUE,19,Education,Less than high school,EDU,EDUHS
2013,2013,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,40.7,40.7,NA,NA,38.4,43.1,2718,NA,65 or older,NA,NA,NA,NA,"(45.254228894001, -68.985031336)",OWS,OWS1,Q037,VALUE,23,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,30,30,NA,NA,24.3,36.4,275,NA,NA,NA,NA,NA,Non-Hispanic Black,"(38.843840757, -106.133610921)",OWS,OWS1,Q037,VALUE,08,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,13.6,13.6,NA,NA,10.9,17,1150,NA,NA,College graduate,NA,NA,NA,"(64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,02,Education,College graduate,EDU,EDUCOGRAD
2013,2013,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,27.2,27.2,NA,NA,22.3,32.6,363,NA,18 - 24,NA,NA,NA,NA,"(42.469400913, -93.816490556)",PA,PA1,Q044,VALUE,19,Age (years),18 - 24,AGEYR,AGEYR1824
2015,2015,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,23,23,NA,NA,19,27.5,746,NA,NA,NA,NA,"Less than $15,000",NA,"(41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,09,Income,"Less than $15,000",INC,INCLESS15
2011,2011,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,39.9,39.9,NA,NA,36.6,43.3,1234,NA,45 - 54,NA,NA,NA,NA,"(41.708280193, -71.522470314)",OWS,OWS1,Q037,VALUE,44,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35,35,NA,NA,32.1,38,2175,NA,NA,NA,Male,NA,NA,"(40.485010283, -88.997710178)",PA,PA1,Q045,VALUE,17,Gender,Male,GEN,MALE
2015,2015,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,27.4,27.4,NA,NA,22.9,32.5,632,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(47.475319779, -100.118421049)",PA,PA1,Q045,VALUE,38,Income,"$35,000 - $49,999",INC,INC3550
2021,2021,AZ,Arizona,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,42.7,42.7,NA,NA,36.1,49.6,529,NA,NA,NA,NA,"Less than $15,000",NA,"(34.865970280000454, -111.76381127699972)",FV,FV1,Q018,VALUE,04,Income,"Less than $15,000",INC,INCLESS15
2016,2016,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,19.5,19.5,NA,NA,16.8,22.6,1102,NA,35 - 44,NA,NA,NA,NA,"(41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,09,Age (years),35 - 44,AGEYR,AGEYR3544
2017,2017,OH,Ohio,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,42.4,42.4,NA,NA,31.6,54,108,NA,NA,NA,NA,NA,Asian,"(40.060210141, -82.404260056)",PA,PA1,Q043,VALUE,39,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34,34,NA,NA,30.3,38,987,NA,45 - 54,NA,NA,NA,NA,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,01,Age (years),45 - 54,AGEYR,AGEYR4554
2022,2022,KS,Kansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,33.3,33.3,NA,NA,26.3,41.2,365,NA,NA,NA,NA,"Less than $15,000",NA,"(38.34774030000045, -98.20078122699965)",OWS,OWS1,Q037,VALUE,20,Income,"Less than $15,000",INC,INCLESS15
2022,2022,ND,North Dakota,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(47.47531977900047, -100.11842104899966)",PA,PA1,Q047,VALUE,38,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2021,2021,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,44.5,44.5,NA,NA,38.9,50.4,772,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(32.83968109300048, -83.62758034599966)",FV,FV1,Q018,VALUE,13,Income,"$35,000 - $49,999",INC,INC3550
2018,2018,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,32.4,32.4,NA,NA,31.1,33.7,7759,NA,NA,NA,NA,NA,Non-Hispanic White,"(44.6613195430005, -84.71439026999968)",OWS,OWS1,Q036,VALUE,26,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2020,2020,NM,New Mexico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(34.52088095200048, -106.24058098499967)",PA,PA1,Q047,VALUE,35,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2018,2018,VI,Virgin Islands,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,45 - 54,NA,NA,NA,NA,"(18.335765, -64.896335)",OWS,OWS1,Q037,VALUE,78,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,MN,Minnesota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,33,33,NA,NA,30.9,35.2,5622,NA,NA,NA,Male,NA,NA,"(46.355648736, -94.794200503)",PA,PA1,Q046,VALUE,27,Gender,Male,GEN,MALE
2011,2011,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(40.793730152, -77.860700294)",OWS,OWS1,Q036,VALUE,42,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2019,2019,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,55.3,55.3,NA,NA,49.7,60.6,502,NA,NA,NA,NA,NA,Non-Hispanic Black,"(37.63864012300047, -120.99999953799971)",PA,PA1,Q043,VALUE,06,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2015,2015,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34.4,34.4,NA,NA,31.2,37.7,1474,NA,NA,NA,NA,"Less than $15,000",NA,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,06,Income,"Less than $15,000",INC,INCLESS15
2020,2020,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.2,36.2,NA,NA,33.2,39.3,1721,NA,55 - 64,NA,NA,NA,NA,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q037,VALUE,51,Age (years),55 - 64,AGEYR,AGEYR5564
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,44,44,NA,NA,27.4,62,62,NA,NA,NA,NA,NA,Other,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,VALUE,18,Race/Ethnicity,Other,RACE,RACEOTH
2012,2012,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,25.8,25.8,NA,NA,20.8,31.5,660,NA,NA,NA,NA,"Less than $15,000",NA,"(44.353130053, -100.373530637)",OWS,OWS1,Q037,VALUE,46,Income,"Less than $15,000",INC,INCLESS15
2013,2013,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,17.2,17.2,NA,NA,14.4,20.4,1384,NA,NA,NA,NA,NA,Non-Hispanic Black,"(32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2016,2016,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.235541343, -108.109830353)",OWS,OWS1,Q036,VALUE,56,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,20.2,20.2,NA,NA,18.4,22.2,2412,NA,65 or older,NA,NA,NA,NA,"(47.475319779, -100.118421049)",PA,PA1,Q046,VALUE,38,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.1,28.1,NA,NA,25.7,30.7,2051,NA,45 - 54,NA,NA,NA,NA,"(39.360700171, -111.587130635)",OWS,OWS1,Q036,VALUE,49,Age (years),45 - 54,AGEYR,AGEYR4554
2021,2021,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,24.4,24.4,NA,NA,14.4,38.3,98,NA,NA,NA,NA,NA,Asian,"(41.70828019300046, -71.52247031399963)",PA,PA1,Q047,VALUE,44,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Other,"(40.793730152, -77.860700294)",PA,PA1,Q046,VALUE,42,Race/Ethnicity,Other,RACE,RACEOTH
2015,2015,NM,New Mexico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,37.6,37.6,NA,NA,34.8,40.6,2511,NA,NA,NA,Male,NA,NA,"(34.520880952, -106.240580985)",PA,PA1,Q045,VALUE,35,Gender,Male,GEN,MALE
2015,2015,NC,North Carolina,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,35.1,35.1,NA,NA,30.5,40,612,NA,NA,Less than high school,NA,NA,NA,"(35.466220975, -79.159250463)",PA,PA1,Q043,VALUE,37,Education,Less than high school,EDU,EDUHS
2019,2019,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.6,34.6,NA,NA,33.8,35.4,43629,NA,35 - 44,NA,NA,NA,NA,NA,OWS,OWS1,Q036,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2015,2015,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,27,27,NA,NA,24.8,29.2,2325,NA,NA,NA,NA,"$75,000 or greater",NA,"(44.661319543001, -84.71439027)",OWS,OWS1,Q036,VALUE,26,Income,"$75,000 or greater",INC,INC75PLUS
